x,y,y'
0.000683995,0.046511628,0.15656045
0.001367989,0.023255814,0.15654995
0.002051984,0.023255814,0.15653944
0.002735978,0.372093023,0.15652893
0.003419973,0.209302326,0.15651841
0.004103967,0.139534884,0.1565079
0.004787962,0.162790698,0.15649736
0.005471956,0.255813953,0.15648681
0.006155951,0.255813953,0.15647626
0.006839945,0.023255814,0.15646571
0.00752394,0.279069767,0.15645514
0.008207934,0.325581395,0.15644458
0.008891929,0.302325581,0.156434
0.009575923,0.046511628,0.15642342
0.010259918,0.093023256,0.15641282
0.010943912,0.11627907,0.15640223
0.011627907,0.325581395,0.15639162
0.012311902,0.139534884,0.15638101
0.012995896,0.093023256,0.15637039
0.013679891,0.162790698,0.15635976
0.014363885,0.11627907,0.15634912
0.01504788,0.186046512,0.15633848
0.015731874,0.162790698,0.15632784
0.016415869,0.348837209,0.15631717
0.017099863,0.255813953,0.15630652
0.017783858,0.069767442,0.15629585
0.018467852,0.093023256,0.15628517
0.019151847,0.139534884,0.15627448
0.019835841,0.186046512,0.1562638
0.020519836,0.093023256,0.1562531
0.02120383,0.162790698,0.15624239
0.021887825,0.069767442,0.15623167
0.022571819,0.186046512,0.15622096
0.023255814,0.046511628,0.15621023
0.023939808,0.069767442,0.1561995
0.024623803,0.023255814,0.15618876
0.025307798,0.069767442,0.156178
0.025991792,0.046511628,0.15616725
0.026675787,0.23255814,0.15615648
0.027359781,0.11627907,0.1561457
0.028043776,0.418604651,0.15613493
0.02872777,0.093023256,0.15612414
0.029411765,0.023255814,0.15611336
0.030095759,0.069767442,0.15610255
0.030779754,0.162790698,0.15609175
0.031463748,0.255813953,0.15608093
0.032147743,0.069767442,0.15607011
0.032831737,0.046511628,0.1560593
0.033515732,0.046511628,0.15604846
0.034199726,0.11627907,0.15603761
0.034883721,0.162790698,0.15602677
0.035567715,0.023255814,0.1560159
0.03625171,0.046511628,0.15600504
0.036935705,0.325581395,0.15599418
0.037619699,0.255813953,0.1559833
0.038303694,0.23255814,0.1559724
0.038987688,0.046511628,0.15596151
0.039671683,0.093023256,0.15595062
0.040355677,0.209302326,0.15593971
0.041039672,0.465116279,0.15592879
0.041723666,0.093023256,0.15591787
0.042407661,0.046511628,0.15590695
0.043091655,0.255813953,0.15589601
0.04377565,0.046511628,0.15588507
0.044459644,0.046511628,0.15587412
0.045143639,0.162790698,0.15586317
0.045827633,0.023255814,0.1558522
0.046511628,0.372093023,0.15584123
0.047195622,0.023255814,0.15583025
0.047879617,0.139534884,0.15581927
0.048563611,0.023255814,0.15580827
0.049247606,0.23255814,0.15579727
0.049931601,0.023255814,0.15578626
0.050615595,0.069767442,0.15577525
0.05129959,0.046511628,0.15576422
0.051983584,0.023255814,0.1557532
0.052667579,0.11627907,0.15574217
0.053351573,0.11627907,0.15573113
0.054035568,0.465116279,0.15572007
0.054719562,0.023255814,0.15570901
0.055403557,0.023255814,0.15569794
0.056087551,0.23255814,0.15568687
0.056771546,0.023255814,0.1556758
0.05745554,0.395348837,0.15566471
0.058139535,0.11627907,0.15565361
0.058823529,0.069767442,0.15564252
0.059507524,0.069767442,0.15563141
0.060191518,0.11627907,0.15562029
0.060875513,0.069767442,0.15560918
0.061559508,0.302325581,0.15559804
0.062243502,0.302325581,0.15558691
0.062927497,0.11627907,0.15557577
0.063611491,0.23255814,0.15556462
0.064295486,0.255813953,0.15555346
0.06497948,0.046511628,0.1555423
0.065663475,0.023255814,0.15553112
0.066347469,0.093023256,0.15551995
0.067031464,0.162790698,0.15550876
0.067715458,0.11627907,0.15549757
0.068399453,0.139534884,0.15548636
0.069083447,0.488372093,0.15547515
0.069767442,0.093023256,0.15546393
0.070451436,0.023255814,0.15545271
0.071135431,0.023255814,0.1554415
0.071819425,0.023255814,0.15543026
0.07250342,0.186046512,0.155419
0.073187415,0.093023256,0.15540776
0.073871409,0.209302326,0.1553965
0.074555404,0.046511628,0.15538524
0.075239398,0.11627907,0.15537396
0.075923393,0.255813953,0.15536268
0.076607387,0.372093023,0.1553514
0.077291382,0.069767442,0.1553401
0.077975376,0.162790698,0.15532881
0.078659371,0.186046512,0.1553175
0.079343365,0.186046512,0.15530619
0.08002736,0.11627907,0.15529487
0.080711354,0.209302326,0.15528353
0.081395349,0.069767442,0.1552722
0.082079343,0.348837209,0.15526085
0.082763338,0.069767442,0.1552495
0.083447332,0.441860465,0.15523814
0.084131327,0.325581395,0.15522678
0.084815321,0.093023256,0.15521541
0.085499316,0.255813953,0.15520403
0.086183311,0.11627907,0.15519264
0.086867305,0.325581395,0.15518124
0.0875513,0.139534884,0.15516984
0.088235294,0.139534884,0.15515845
0.088919289,0.511627907,0.15514703
0.089603283,0.139534884,0.1551356
0.090287278,0.069767442,0.15512417
0.090971272,0.395348837,0.15511274
0.091655267,0.046511628,0.1551013
0.092339261,0.162790698,0.15508984
0.093023256,0.069767442,0.15507838
0.09370725,0.23255814,0.15506692
0.094391245,0.162790698,0.15505545
