6502 東証2部 (株)東芝（電気機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2016-01-04","253","262.8","251.2","255","90187000","2550"
"2016-01-05","254.9","255.7","240.3","245.2","64602000","2452"
"2016-01-06","246.1","251.1","241","243.6","35417000","2436"
"2016-01-07","243.6","246.5","235.8","236.3","44688000","2363"
"2016-01-08","232.4","241.5","231","235","44942000","2350"
"2016-01-12","232","235.9","226.5","227","44211000","2270"
"2016-01-13","228","237.9","228","230.8","47760000","2308"
"2016-01-14","225.5","228.6","220.6","228.2","42029000","2282"
"2016-01-15","231.7","233.4","223.5","224.8","39466000","2248"
"2016-01-18","220","231.9","218.4","230.3","41631000","2303"
"2016-01-19","227.9","233","223","233","38990000","2330"
"2016-01-20","230.4","231.9","218.8","219.4","51993000","2194"
"2016-01-21","219","229.1","211","211.4","63029000","2114"
"2016-01-22","219.4","224.1","215.7","221.9","47210000","2219"
"2016-01-25","224","224.8","208","209.2","68114000","2092"
"2016-01-26","202.1","204.3","195.4","196.2","87206000","1962"
"2016-01-27","198.7","206","198.3","204.9","61201000","2049"
"2016-01-28","202.8","203","196.1","197","54473000","1970"
"2016-01-29","197","201.9","189.3","199","85682000","1990"
"2016-02-01","204","210.8","200.8","209.1","51633000","2091"
"2016-02-02","205.4","205.7","200.2","200.2","32273000","2002"
"2016-02-03","197","197.3","192","192.9","37248000","1929"
"2016-02-04","182.9","203.2","182.1","198.5","73173000","1985"
"2016-02-05","183.5","193.2","170.1","176.3","141408000","1763"
"2016-02-08","173","179.8","167.1","178.6","64516000","1786"
"2016-02-09","172","174.9","168","168.2","55448000","1682"
"2016-02-10","168.4","173.8","166","168.2","56953000","1682"
"2016-02-12","162","163.6","155","158","88137000","1580"
"2016-02-15","164","166.5","158","161.5","70530000","1615"
"2016-02-16","161.7","178","161.7","174.7","60029000","1747"
"2016-02-17","175","179.4","164.1","166.6","61372000","1666"
"2016-02-18","173.1","176.3","169.1","172.5","56274000","1725"
"2016-02-19","171.2","177.3","166.2","176","52428000","1760"
"2016-02-22","176","184.9","172.3","183.5","53066000","1835"
"2016-02-23","184.5","188.5","179.1","182.6","40027000","1826"
"2016-02-24","175.9","177","171.4","173.7","45917000","1737"
"2016-02-25","173.7","178.3","173.7","176.2","25950000","1762"
"2016-02-26","177.6","179","173.1","173.9","28646000","1739"
"2016-02-29","183","183","174.1","174.8","38610000","1748"
"2016-03-01","174.8","177.7","170.5","173.7","32126000","1737"
"2016-03-02","178.2","185.5","176.5","185.2","47114000","1852"
"2016-03-03","188","208","185.6","198.3","100496000","1983"
"2016-03-04","203","214.3","201.9","209.3","70016000","2093"
"2016-03-07","214.9","231","213","224","113088000","2240"
"2016-03-08","221","223","207.2","208.3","84707000","2083"
"2016-03-09","205","205.9","198.2","203.6","56344000","2036"
"2016-03-10","209.6","213","200.1","204.2","54432000","2042"
"2016-03-11","204.2","209","201.3","207.1","48047000","2071"
"2016-03-14","210.4","214.3","207.4","213.3","44605000","2133"
"2016-03-15","215.6","217.7","210","211","45566000","2110"
"2016-03-16","208.7","212.6","207","208.4","32723000","2084"
"2016-03-17","210.1","218.5","187.5","191.8","143763000","1918"
"2016-03-18","201","204.5","195.1","200","72490000","2000"
"2016-03-22","205","211.7","204.3","208.8","58836000","2088"
"2016-03-23","207.3","211","206.4","210","32252000","2100"
"2016-03-24","209.7","209.8","198.7","199.8","55014000","1998"
"2016-03-25","200.9","208.4","200.5","208.3","37599000","2083"
"2016-03-28","205","208.3","203.1","205.6","33674000","2056"
"2016-03-29","205","212.5","201.3","211.5","44776000","2115"
"2016-03-30","211","211","205.4","207","43594000","2070"
"2016-03-31","213.8","223.9","211.3","219","100558000","2190"
"2016-04-01","217.6","218.8","207.4","209.3","62365000","2093"
"2016-04-04","205.5","214.6","203.7","206.3","43856000","2063"
"2016-04-05","206.4","207.3","198.6","200.5","45270000","2005"
"2016-04-06","199.5","210.5","199.4","205.7","50516000","2057"
"2016-04-07","204","210","201.3","202.3","52539000","2023"
"2016-04-08","199.5","209.9","198.3","207.3","49449000","2073"
"2016-04-11","208.9","213.7","203.6","213.3","43555000","2133"
"2016-04-12","213","222.3","211.3","220.7","41078000","2207"
"2016-04-13","224.5","230.8","222.8","229.5","56783000","2295"
"2016-04-14","234.8","236","226.7","229.4","47625000","2294"
"2016-04-15","223.9","231.5","221","230.1","38492000","2301"
"2016-04-18","220.4","230.9","220.3","223.6","39387000","2236"
"2016-04-19","227.8","233.6","226.3","233.5","42414000","2335"
"2016-04-20","234.6","236.4","230.4","234","45427000","2340"
"2016-04-21","239.2","247.9","237.5","245","61063000","2450"
"2016-04-22","242.5","251.4","242.5","247.7","60534000","2477"
"2016-04-25","251.5","253.7","244.8","246","48859000","2460"
"2016-04-26","246","248.5","240.2","241.9","46190000","2419"
"2016-04-27","236.8","244.8","231.7","244.3","50585000","2443"
"2016-04-28","247.1","250.4","233","235","60918000","2350"
"2016-05-02","225.1","232","221.7","222.3","42974000","2223"
"2016-05-06","223","224.8","212.6","214.7","49844000","2147"
"2016-05-09","220.2","221.8","216.8","217.6","26982000","2176"
"2016-05-10","218","221.1","212.7","220.6","28218000","2206"
"2016-05-11","223.4","228","220","220.9","26255000","2209"
"2016-05-12","218","229.9","217.8","222.9","50476000","2229"
"2016-05-13","225.1","232","224.6","226.1","40775000","2261"
"2016-05-16","224.8","226.3","217.5","222.1","33010000","2221"
"2016-05-17","225","226.9","220.3","223.7","21122000","2237"
"2016-05-18","223","226.5","220.9","223.4","26338000","2234"
"2016-05-19","226.3","227.6","221.4","222.4","23706000","2224"
"2016-05-20","222.4","225.7","220.7","224.1","24586000","2241"
"2016-05-23","223.8","230.3","222.2","229.4","32209000","2294"
"2016-05-24","227.5","228","221.2","221.3","30417000","2213"
"2016-05-25","224.6","230.4","223.9","229.6","38618000","2296"
"2016-05-26","233","242","228.7","240","59132000","2400"
"2016-05-27","250","267.7","248.2","266.3","141668000","2663"
"2016-05-30","266.5","280","265.9","278.6","77713000","2786"
"2016-05-31","274","278","268.2","273.6","61793000","2736"
"2016-06-01","270.5","281.3","270.1","276.4","45938000","2764"
"2016-06-02","274.8","279.4","272","276.4","45842000","2764"
"2016-06-03","276.5","286.7","268.6","271.6","74945000","2716"
"2016-06-06","264.8","269.5","262.7","263.1","51328000","2631"
"2016-06-07","264.8","275.7","264.8","274.9","42563000","2749"
"2016-06-08","276","278.7","272.5","278.4","34748000","2784"
"2016-06-09","280.6","296.2","280.4","292.2","91874000","2922"
"2016-06-10","289.5","295.6","288.8","292.5","55644000","2925"
"2016-06-13","285.7","286.9","276.2","276.5","48585000","2765"
"2016-06-14","273.7","277.8","268.7","272.3","39361000","2723"
"2016-06-15","279","296","278.2","292.9","91085000","2929"
"2016-06-16","293.8","300","278.4","281.6","74586000","2816"
"2016-06-17","290","291.4","271.2","281.4","59201000","2814"
"2016-06-20","290","296.3","287.4","294.8","55091000","2948"
"2016-06-21","294.8","299.9","291.2","297.4","55425000","2974"
"2016-06-22","293","297","288.7","288.8","39581000","2888"
"2016-06-23","292","294.1","286.6","290.7","33284000","2907"
"2016-06-24","293.9","294.3","251.7","264.6","85358000","2646"
"2016-06-27","264","270.3","259.9","265.5","33205000","2655"
"2016-06-28","261.5","262.8","252.3","259.9","40146000","2599"
"2016-06-29","268","278.9","266.7","277.2","44827000","2772"
"2016-06-30","283.8","286","274.5","276.4","48684000","2764"
"2016-07-01","279.2","285.2","277","284.2","43700000","2842"
"2016-07-04","284.1","285.4","280.6","284.3","27067000","2843"
"2016-07-05","281.7","292.7","281.6","289.1","37018000","2891"
"2016-07-06","285.9","286","272.4","277.1","43766000","2771"
"2016-07-07","278.5","288.3","272","272.4","42900000","2724"
"2016-07-08","273.4","277.6","268.6","269.5","27444000","2695"
"2016-07-11","277","286.9","274.4","285","40665000","2850"
"2016-07-12","295","298.5","289.5","293.3","54150000","2933"
"2016-07-13","299.4","303.8","295.5","300.1","64502000","3001"
"2016-07-14","298.8","303.6","295.3","300.9","34187000","3009"
"2016-07-15","302.8","302.9","296.8","297.7","37561000","2977"
"2016-07-19","302","303.5","296.3","299.5","30317000","2995"
"2016-07-20","298","304.2","296.4","302.1","39342000","3021"
"2016-07-21","305","311.6","303.6","305.7","42374000","3057"
"2016-07-22","300.7","306","299.7","302.6","23829000","3026"
"2016-07-25","302.6","302.8","296","296.5","29033000","2965"
"2016-07-26","290.2","290.8","268","268.9","79861000","2689"
"2016-07-27","274.7","274.8","265.3","271.8","36002000","2718"
"2016-07-28","269","272.2","266.3","266.6","21523000","2666"
"2016-07-29","267.4","270.5","261.8","269.2","34241000","2692"
"2016-08-01","265","268.5","263.2","264.8","18618000","2648"
"2016-08-02","264","266.9","262.1","262.1","15249000","2621"
"2016-08-03","258.2","261.2","253","254.7","26629000","2547"
"2016-08-04","255","266.4","254.9","265.9","22583000","2659"
"2016-08-05","265","266.8","258.6","259.6","18810000","2596"
"2016-08-08","265","269.4","263.2","266.8","17973000","2668"
"2016-08-09","266.8","267.2","262.2","266.8","16131000","2668"
"2016-08-10","266.6","267.6","262.6","263.9","14519000","2639"
"2016-08-12","279.9","279.9","272.8","273.9","37519000","2739"
"2016-08-15","281.9","297.3","280.2","291.1","55030000","2911"
"2016-08-16","293.4","297","289.7","290.1","37910000","2901"
"2016-08-17","288.2","295.7","287","295","29369000","2950"
"2016-08-18","296","299.3","293","293.6","32406000","2936"
"2016-08-19","296","304.8","293.5","301.1","45395000","3011"
"2016-08-22","301.5","305.9","300.7","304.6","26424000","3046"
"2016-08-23","302.6","305.5","300","301.7","23429000","3017"
"2016-08-24","303","308.8","303","307.7","26610000","3077"
"2016-08-25","305","307.9","305","306.7","19460000","3067"
"2016-08-26","305.8","306.4","301.7","302","20705000","3020"
"2016-08-29","307","316.5","306.2","314.7","34123000","3147"
"2016-08-30","314.5","317","310.5","316.7","26484000","3167"
"2016-08-31","319.5","328.8","316.5","327.2","51403000","3272"
"2016-09-01","319.9","326.8","319.5","325.8","28854000","3258"
"2016-09-02","327.5","330","325.3","329.4","31730000","3294"
"2016-09-05","335","339","332.4","334.3","34931000","3343"
"2016-09-06","334.2","343.2","334.1","340.8","44177000","3408"
"2016-09-07","333.5","338.5","333.1","338","31279000","3380"
"2016-09-08","340.1","340.6","331","333.1","35942000","3331"
"2016-09-09","334","339.9","331.4","335.7","32871000","3357"
"2016-09-12","330.5","331.1","322","322.7","41937000","3227"
"2016-09-13","329","331.5","323.2","324.1","25265000","3241"
"2016-09-14","321.3","321.3","315.3","315.4","24997000","3154"
"2016-09-15","312.1","315.9","306.3","308.2","32390000","3082"
"2016-09-16","313.3","322.6","312.6","320.2","39859000","3202"
"2016-09-20","317","321.2","315.1","316","25420000","3160"
"2016-09-21","315.2","323.8","314","323.5","33248000","3235"
"2016-09-23","327","327.2","319.1","320","21999000","3200"
"2016-09-26","316","316.3","309.5","310.7","23672000","3107"
"2016-09-27","307.6","328.8","307.2","328.8","56247000","3288"
"2016-09-28","331.9","344.9","327","344.9","77201000","3449"
"2016-09-29","350","353.5","335.1","345.5","69357000","3455"
"2016-09-30","340","340","333.4","335","38048000","3350"
"2016-10-03","343","343","337","338","26303000","3380"
"2016-10-04","336.2","344.9","335.7","342.7","27328000","3427"
"2016-10-05","344.4","346.3","341.3","345.6","24579000","3456"
"2016-10-06","347","349.9","345.3","346.3","26332000","3463"
"2016-10-07","347.8","353.5","345.5","350.1","44070000","3501"
"2016-10-11","351.9","359","351.5","353.5","36398000","3535"
"2016-10-12","351.5","361.9","350.2","355.3","49661000","3553"
"2016-10-13","360.6","369","359.5","366.5","66177000","3665"
"2016-10-14","368","375.3","363.6","374.7","68228000","3747"
"2016-10-17","375","379.1","372.8","378.2","41678000","3782"
"2016-10-18","379.9","382.1","376.1","380.2","38829000","3802"
"2016-10-19","378.7","382.7","368.3","370.1","53583000","3701"
"2016-10-20","370.1","378.7","370.1","378.3","32682000","3783"
"2016-10-21","380.2","382","373.8","375.5","28748000","3755"
"2016-10-24","377.4","379.8","375.2","377.9","19459000","3779"
"2016-10-25","380","381.7","376.5","377.9","25976000","3779"
"2016-10-26","376","376.9","371.3","376.5","20567000","3765"
"2016-10-27","377","380","375","379.5","22113000","3795"
"2016-10-28","380.8","381","377.7","379.1","40565000","3791"
"2016-10-31","380","384.2","375.6","381","44822000","3810"
"2016-11-01","384.3","388.2","382.5","384.7","39741000","3847"
"2016-11-02","378.1","380.2","370.5","371.1","38056000","3711"
"2016-11-04","368","370.6","356.5","363.5","35992000","3635"
"2016-11-07","371.5","375.7","366.3","375.5","30091000","3755"
"2016-11-08","376.5","377.9","369.6","370.4","24105000","3704"
"2016-11-09","378.5","378.5","343.5","351.5","86820000","3515"
"2016-11-10","375","382.9","369.2","381.9","68149000","3819"
"2016-11-11","383","388.4","383","385.5","54102000","3855"
"2016-11-14","389.6","398.7","383.2","387.4","84329000","3874"
"2016-11-15","391.8","392.1","385.5","388.8","33877000","3888"
"2016-11-16","394.7","394.7","383.2","386.8","43234000","3868"
"2016-11-17","386","390.2","384.7","390.1","24578000","3901"
"2016-11-18","393.3","393.9","389.1","389.1","27901000","3891"
"2016-11-21","388.5","390.7","386.5","388.7","27930000","3887"
"2016-11-22","389","398","387.6","397","42663000","3970"
"2016-11-24","400","406.7","398.2","406.2","47539000","4062"
"2016-11-25","407","412.7","405.5","410.3","42725000","4103"
"2016-11-28","408","419.3","406.2","419","43706000","4190"
"2016-11-29","419","425.8","416.5","425.1","47241000","4251"
"2016-11-30","427.3","428.9","423.9","425.2","41869000","4252"
"2016-12-01","427.5","432","426.2","427.5","45747000","4275"
"2016-12-02","425.1","429.4","423.6","427.5","38310000","4275"
"2016-12-05","426.4","436.9","425.9","436.4","46338000","4364"
"2016-12-06","439.4","454.2","439.3","453","71965000","4530"
"2016-12-07","459.7","461.9","452.2","460","53064000","4600"
"2016-12-08","465","466","456.6","465","49417000","4650"
"2016-12-09","464","465","457.5","465","46482000","4650"
"2016-12-12","465","465.3","443.4","453.8","69449000","4538"
"2016-12-13","440","456.4","438","454.4","40297000","4544"
"2016-12-14","454.9","470","452.5","467.8","65430000","4678"
"2016-12-15","470","475.2","462.3","462.8","45045000","4628"
"2016-12-16","465.9","468.3","460.3","460.6","32918000","4606"
"2016-12-19","459.9","465","458.8","463.1","25899000","4631"
"2016-12-20","458.3","460","438","458.2","56147000","4582"
"2016-12-21","455.9","462.5","449.5","452.5","31777000","4525"
"2016-12-22","450","451","442.9","446.1","28677000","4461"
"2016-12-26","440.2","446","440.2","443.1","17006000","4431"
"2016-12-27","371.1","405.1","371","391.6","214987000","3916"
"2016-12-28","311.6","311.6","311.6","311.6","41896000","3116"
"2016-12-29","279.6","286.6","232","258.7","638756000","2587"
"2016-12-30","266.7","289.4","263.1","283.1","355514000","2831"
